activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1774277,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '12.87', 'le': '0.26', 'lle': '0.60', 'sei': '11.00'}",CHEMBL216339,,CHEMBL216339,5.43,False,http://www.openphacts.org/units/Nanomolar,606563,=,1,True,=,,IC50,nM,,3670.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,3.67
,1774278,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc(C(F)(F)F)c1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '15.31', 'le': '0.30', 'lle': '2.06', 'sei': '10.04'}",CHEMBL216704,,CHEMBL216704,5.89,False,http://www.openphacts.org/units/Nanomolar,606562,=,1,True,=,,IC50,nM,,1300.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,1.3
,1774279,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cc(Br)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '14.01', 'le': '0.32', 'lle': '1.48', 'sei': '12.29'}",CHEMBL386324,,CHEMBL386324,6.07,False,http://www.openphacts.org/units/Nanomolar,606561,=,1,True,=,,IC50,nM,,850.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,0.85
,1774280,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cc(Cl)cc(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '18.04', 'le': '0.38', 'lle': '2.30', 'sei': '12.97'}",CHEMBL216807,,CHEMBL216807,6.41,True,http://www.openphacts.org/units/Nanomolar,606560,=,1,True,=,,IC50,nM,,390.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,0.39
,1774281,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cc(F)cc(F)c1)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '18.08', 'le': '0.35', 'lle': '2.75', 'sei': '11.79'}",CHEMBL385294,,CHEMBL385294,5.83,False,http://www.openphacts.org/units/Nanomolar,606559,=,1,True,=,,IC50,nM,,1490.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,1.49
,1774282,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc([N+](=O)[O-])ccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '13.04', 'le': '0.25', 'lle': '1.48', 'sei': '4.87'}",CHEMBL217617,,CHEMBL217617,4.50,False,http://www.openphacts.org/units/Nanomolar,606558,=,1,True,=,,IC50,nM,,31370.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,31.37
,1774283,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(Cl)cccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '13.85', 'le': '0.28', 'lle': '0.87', 'sei': '9.38'}",CHEMBL444361,,CHEMBL444361,4.64,False,http://www.openphacts.org/units/Nanomolar,606557,=,1,True,=,,IC50,nM,,23120.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,23.12
,1774284,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C)cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '17.50', 'le': '0.33', 'lle': '2.08', 'sei': '11.14'}",CHEMBL387186,,CHEMBL387186,5.50,False,http://www.openphacts.org/units/Nanomolar,606556,=,1,True,=,,IC50,nM,,3140.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,3.14
,1774285,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(C)c(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '15.89', 'le': '0.30', 'lle': '1.58', 'sei': '10.12'}",CHEMBL216887,,CHEMBL216887,5.00,False,http://www.openphacts.org/units/Nanomolar,606555,=,1,True,=,,IC50,nM,,10050.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,10.05
,1774286,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)ccc1Br,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '11.67', 'le': '0.26', 'lle': '0.55', 'sei': '8.96'}",CHEMBL216748,,CHEMBL216748,4.43,False,http://www.openphacts.org/units/Nanomolar,606553,=,1,True,=,,IC50,nM,,37410.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,37.41
,1774287,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '17.96', 'le': '0.36', 'lle': '2.24', 'sei': '12.17'}",CHEMBL425259,,CHEMBL425259,6.01,True,http://www.openphacts.org/units/Nanomolar,606552,=,1,True,=,,IC50,nM,,970.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,0.97
,1774288,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cc(Cl)ccc1Cl)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '11.96', 'le': '0.25', 'lle': '0.14', 'sei': '8.60'}",CHEMBL215081,,CHEMBL215081,4.25,False,http://www.openphacts.org/units/Nanomolar,606551,=,1,True,=,,IC50,nM,,56500.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,56.5
,1774289,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Cl)cc1Cl)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '11.97', 'le': '0.25', 'lle': '0.14', 'sei': '8.60'}",CHEMBL217144,,CHEMBL217144,4.25,False,http://www.openphacts.org/units/Nanomolar,606550,=,1,True,=,,IC50,nM,,56020.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,56.02
,1774290,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)c1ccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '12.59', 'le': '0.24', 'lle': '1.12', 'sei': '6.22'}",CHEMBL217272,,CHEMBL217272,4.13,False,http://www.openphacts.org/units/Nanomolar,606547,=,1,True,=,,IC50,nM,,73580.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,73.58
,1774291,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)Nc1ccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc1,,,CHEMBL1137386,J. Med. Chem.,2006,,CHEMBL426150,,CHEMBL426150,,False,http://www.openphacts.org/units/Nanomolar,606546,>,1,True,>,,IC50,nM,,100000.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,100.0
,1774292,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)c1cccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '16.00', 'le': '0.30', 'lle': '1.33', 'sei': '10.64'}",CHEMBL387284,,CHEMBL387284,5.26,False,http://www.openphacts.org/units/Nanomolar,606545,=,1,True,=,,IC50,nM,,5550.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,5.55
,1774293,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cccc([N+](=O)[O-])c1)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '15.01', 'le': '0.28', 'lle': '2.27', 'sei': '5.38'}",CHEMBL216786,,CHEMBL216786,4.97,False,http://www.openphacts.org/units/Nanomolar,606542,=,1,True,=,,IC50,nM,,10590.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,10.59
,1774294,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cccc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '15.39', 'le': '0.30', 'lle': '1.62', 'sei': '11.04'}",CHEMBL411394,,CHEMBL411394,5.46,False,http://www.openphacts.org/units/Nanomolar,606541,=,1,True,=,,IC50,nM,,3510.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,3.51
,1774295,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '15.90', 'le': '0.30', 'lle': '1.66', 'sei': '9.66'}",CHEMBL214484,,CHEMBL214484,4.78,False,http://www.openphacts.org/units/Nanomolar,606540,=,1,True,=,,IC50,nM,,16790.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,16.79
,1774296,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(I)cc1)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '11.74', 'le': '0.30', 'lle': '1.43', 'sei': '9.79'}",CHEMBL386252,,CHEMBL386252,4.84,False,http://www.openphacts.org/units/Nanomolar,606539,=,1,True,=,,IC50,nM,,14500.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,14.5
,1774297,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cccc(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '18.30', 'le': '0.36', 'lle': '2.41', 'sei': '11.88'}",CHEMBL217588,,CHEMBL217588,5.87,False,http://www.openphacts.org/units/Nanomolar,606536,=,1,True,=,,IC50,nM,,1350.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,1.35
,1774298,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Br)cc1)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '12.46', 'le': '0.28', 'lle': '0.98', 'sei': '9.21'}",CHEMBL439530,,CHEMBL439530,4.55,False,http://www.openphacts.org/units/Nanomolar,606535,=,1,True,=,,IC50,nM,,28020.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,28.02
,1774299,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cccc(Br)c1)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '16.56', 'le': '0.38', 'lle': '2.48', 'sei': '12.25'}",CHEMBL385214,,CHEMBL385214,6.05,True,http://www.openphacts.org/units/Nanomolar,606534,=,1,True,=,,IC50,nM,,890.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,0.89
,1774300,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1ccccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '12.94', 'le': '0.24', 'lle': '1.87', 'sei': '5.89'}",CHEMBL217864,,CHEMBL217864,4.46,False,http://www.openphacts.org/units/Nanomolar,606532,=,1,True,=,,IC50,nM,,34880.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,34.88
,1774340,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CC(=O)N(C2CCCCC2)C1)N1CCc2ccccc21,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '16.94', 'le': '0.31', 'lle': '2.53', 'sei': '13.03'}",CHEMBL217499,,CHEMBL217499,5.29,False,http://www.openphacts.org/units/Nanomolar,606574,=,1,True,=,,IC50,nM,,5100.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,5.1
,1774360,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cccc(-c2ccccc2)c1)C1CC(=O)N(C2CCCCC2)C1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '17.68', 'le': '0.32', 'lle': '1.94', 'sei': '12.97'}",CHEMBL441373,,CHEMBL441373,6.41,False,http://www.openphacts.org/units/Nanomolar,606581,=,1,True,=,,IC50,nM,,390.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,0.39
Not Determined,1774362,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CC(=O)N(C2CCCCC2)C1)N1CCN(C2c3ccccc3-c3ccccc32)CC1,,,CHEMBL1137386,J. Med. Chem.,2006,,CHEMBL387074,,CHEMBL387074,,False,,606596,,1,False,,,IC50,,,,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,,,,
Not Determined,1774363,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,CC1(NC(=O)C2CC(=O)N(C3CCCCC3)C2)CC2CCC1(C)C2(C)C,,,CHEMBL1137386,J. Med. Chem.,2006,,CHEMBL217069,,CHEMBL217069,,False,,606595,,1,False,,,IC50,,,,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,,,,
Not Determined,1774364,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ccc(Oc2ccc(NC(=O)C3CC(=O)N(C4CCCCC4)C3)cc2)cc1,,,CHEMBL1137386,J. Med. Chem.,2006,,CHEMBL217070,,CHEMBL217070,,False,,606594,,1,False,,,IC50,,,,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,,,,
Not Determined,1774365,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CC(=O)N(C2CCCCC2)C1)N1CCN(C(c2ccccc2)c2ccccc2)CC1,,,CHEMBL1137386,J. Med. Chem.,2006,,CHEMBL217258,,CHEMBL217258,,False,,606593,,1,False,,,IC50,,,,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,,,,
,1774367,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CC(=O)N(C2CCCCC2)C1)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '10.92', 'le': '0.21', 'lle': '0.88', 'sei': '11.99'}",CHEMBL262471,,CHEMBL262471,5.26,False,http://www.openphacts.org/units/Nanomolar,606591,=,1,True,=,,IC50,nM,,5510.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,5.51
Not Determined,1774368,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(c1ccccc1)c1cccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,,,CHEMBL1137386,J. Med. Chem.,2006,,CHEMBL216679,,CHEMBL216679,,False,,606590,,1,False,,,IC50,,,,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,,,,
,1774369,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(C1CC(=O)N(C2CCCCC2)C1)N1CCN(C(c2ccccc2)c2ccc(F)cc2)CC1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '11.20', 'le': '0.21', 'lle': '0.95', 'sei': '11.84'}",CHEMBL215478,,CHEMBL215478,5.19,False,http://www.openphacts.org/units/Nanomolar,606589,=,1,True,=,,IC50,nM,,6410.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,6.41
,1774370,[],CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(C(c2ccccc2)N2CCN(C(=O)C3CC(=O)N(C4CCCCC4)C3)CC2)cc1,,,CHEMBL1137386,J. Med. Chem.,2006,"{'bei': '11.50', 'le': '0.21', 'lle': '0.88', 'sei': '12.05'}",CHEMBL217879,,CHEMBL217879,5.29,False,http://www.openphacts.org/units/Nanomolar,606588,=,1,True,=,,IC50,nM,,5180.0,CHEMBL1849,Mycobacterium tuberculosis,Enoyl-[acyl-carrier-protein] reductase,1773,,,IC50,uM,UO_0000065,,5.18
